Tanggal,Kode_wilayah,Wilayah,Stasiun,Temperatur_rata-rata,Kelembapan_rata-rata,Curah_hujan, Lamanya_penyinaran_matahari ,Kecepatan_angin_rata-rata,Kategori_Curah_Hujan,Klasifikasi
1/1/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.3,87,14.5,0,1,Hujan Sedang,Normal
1/2/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.5,81,31.5,0.7,2,Hujan Sedang,La Niña
1/3/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.6,82,0.5,0,1,Hujan Sedang,Normal
1/4/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.4,86,2.4,0,1,Hujan Sedang,Normal
1/5/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.4,83,35.3,0,2,Hujan Sedang,La Niña
1/6/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.6,68,2.3,2.2,1,Hujan Sedang,Normal
1/7/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.6,70,0,6.2,2,Tidak Hujan,Normal
1/8/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.1,76,0,8,2,Tidak Hujan,Normal
1/9/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29,73,0,3.8,3,Tidak Hujan,Normal
1/10/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,30.1,65,0,5,1,Tidak Hujan,Normal
1/11/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.8,73,0,5,1,Tidak Hujan,Normal
1/12/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.1,71,0,0,0,Tidak Hujan,Normal
1/13/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.2,74,0,8.3,1,Tidak Hujan,Normal
1/14/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.2,72,0,4.5,1,Tidak Hujan,Normal
1/15/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.8,69,0,6.4,2,Tidak Hujan,Normal
1/16/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.9,70,0,6.5,1,Tidak Hujan,Normal
1/17/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.6,77,0,1.2,1,Tidak Hujan,Normal
1/18/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.7,78,0,0,1,Tidak Hujan,Normal
1/19/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.5,81,3,1,2,Hujan Sedang,Normal
1/20/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.6,72,0,2.4,1,Tidak Hujan,Normal
1/21/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.6,74,0,3,2,Tidak Hujan,Normal
1/22/2023,31.71,Jakarta Pusat,Stasiun Meteorologi Kemayoran,29.2,71,0,5,2,Tidak Hujan,Normal
